ElapsedRealtimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb
1475699,1505724000000,,,-1263065028725181208,-0.8638544082641602,26.909350708592683,-11.157540937365779,14.767968997923958,1,7,0.0,7183,244134366842765,7,37.4,247.4601287841797,0.047600001096725464,16,0.0,0.0,1.57542003E9,,,,0,,6,-0.14
1475699,1505724000000,,,-1263065028725181208,-0.8638544082641602,26.909350708592683,-11.157540937365779,14.767968997923958,1,19,0.0,7183,244134361294384,31,23.6,-426.8287048339844,0.6019999980926514,16,0.0,0.0,1.57542003E9,,,,0,,6,-0.14
1475699,1505724000000,,,-1263065028725181208,-0.8638544082641602,26.909350708592683,-11.157540937365779,14.767968997923958,1,21,0.0,7183,244134361174653,690,19.1,-570.8714599609375,17.312000274658203,16,0.0,0.0,1.57542003E9,,,,0,,6,-0.14
1475699,1505724000000,,,-1263065028725181208,-0.8638544082641602,26.909350708592683,-11.157540937365779,14.767968997923958,1,27,0.0,7183,244134370644772,13,31.0,-190.16067504882812,0.05220000073313713,16,0.0,0.0,1.57542003E9,,,,0,,6,-0.14
1475699,1505724000000,,,-1263065028725181208,-0.8638544082641602,26.909350708592683,-11.157540937365779,14.767968997923958,1,30,0.0,7183,244134368821183,10,34.9,339.1719970703125,0.04610000178217888,16,0.0,0.0,1.57542003E9,,,,0,,6,-0.14
1476692,1506724000000,,,-1263065028725181229,-0.3231487274169922,23.7952008319553,-18.116706600791357,10.733569869004768,1,14,0.0,207,82117385195291,19,27.5,65.05461120605469,0.24880000948905945,16,0.0,0.0,1.59806246E9,,,,0,,3,2.6
1476692,1506724000000,,,-1263065028725181229,-0.3231487274169922,23.7952008319553,-18.116706600791357,10.733569869004768,1,13,0.0,207,82117375985990,46,20.4,696.7207641601562,1.1390000581741333,16,0.0,0.0,1.60087501E9,,,,0,,3,2.6
1476692,1506724000000,,,-1263065028725181229,-0.3231487274169922,23.7952008319553,-18.116706600791357,10.733569869004768,1,15,0.0,207,82117379336253,11,33.9,-636.483154296875,0.25140002369880676,16,0.0,0.0,1.602E9,,,,0,,3,2.6
1476692,1506724000000,,,-1263065028725181229,-0.3231487274169922,23.7952008319553,-18.116706600791357,10.733569869004768,1,5,0.0,207,82117375593047,8,36.9,-653.4886474609375,0.24370001256465912,16,0.0,0.0,1.60256256E9,,,,0,,3,2.6
1476693,1506724000000,,,-1263065028725181229,-0.3231487274169922,23.7952008319553,-18.116706600791357,10.733569869004768,1,3,0.0,207,82117378887207,17,28.4,454.6225280761719,0.26030001044273376,16,0.0,0.0,1.60481254E9,,,,0,,3,2.6
